held_out,seed,shift_heldout_recall,shift_trivial_base,seen_balacc,shift_balacc,seen_macroF1,shift_macroF1,seen_ECE_temp,shift_ECE_temp,shift_ECE_raw,shift_Brier_temp,seen_coverage,shift_coverage,seen_AURC,shift_AURC,T
Sybil Attack,0,0.9954313245005607,0.9019292002247612,0.9940759257622043,0.9944689090035271,0.9914641611780224,0.9867628307116072,0.0012330475064767606,0.0031951903002542634,0.003705329174750258,0.004329373366451822,0.9077701311687548,0.8794905412998689,3.862091907819785e-05,0.0001477587975443798,1.0714461655443932
Blackhole Attack,0,0.4767522022213711,0.9088693957115009,0.9929813556572578,0.7337924494682104,0.9910748670856371,0.46007524439812464,0.0007410758585690233,0.39068330250908667,0.4023426022878597,0.3751514966371354,0.9088882193431757,0.4059802283486494,4.074888083892926e-05,0.18944608092311677,1.1491918663331797
Wormhole Attack,0,0.7923790538986429,0.9087931995540691,0.99980894153611,0.8959985414642183,0.99988657429929,0.6877774733811083,0.00013069393730235913,0.15692938529945843,0.15591640489829645,0.14993173181252129,0.9088554216867469,0.6277870680044593,7.2581660785023025e-09,0.033396768261165395,0.9642829369186346
Flooding Attack,0,0.9915340160194667,0.8828320802005013,0.9940324006599313,0.9909923708821551,0.992085160102461,0.9797073712693082,0.0007202003570188667,0.007821484620815038,0.006956098268874872,0.007895626959945288,0.909411369740376,0.7117794486215538,2.8693094599227233e-05,0.0002510753600635234,1.0410007877530516
Sybil Attack,1,0.9954313245005607,0.9019292002247612,0.9935550178243308,0.9923680686673926,0.9917870904958106,0.9855898504631169,0.0010676690847501549,0.003882326353007174,0.0038668424622670767,0.004498850019099123,0.9105934945003236,0.9358681401011425,4.727622193331391e-05,0.00024374150760002756,0.9623954928104981
Blackhole Attack,1,0.4476828801225584,0.9088693957115009,0.9933870371001147,0.7186848319634946,0.9918594178613055,0.44101209983165807,0.0012779439150166,0.44394659003405756,0.444050877051198,0.43026900131846285,0.9139499849352215,0.4086605402394876,5.130690503976855e-05,0.1979110264139128,1.0014652464911635
Wormhole Attack,1,0.8077129494748141,0.9087931995540691,0.9999284845884289,0.9036654892523039,0.9997732542517013,0.7020975189515848,0.0001159930702823438,0.1584358253102235,0.15366293150117485,0.15573978979839542,0.913012048192771,0.6286231884057971,1.4516550809403336e-08,0.033426780488459935,0.8420409962266149
Flooding Attack,1,0.9973131907127649,0.8828320802005013,0.9935735347143397,0.9929270308032885,0.9905453032686773,0.9910562411336836,0.000984822848432296,0.006748625253456826,0.0059000028708283865,0.0037333936851099065,0.9083482542524619,0.7138829215896885,5.2980363391787294e-05,9.624274705935876e-05,1.0613745623103177
Sybil Attack,2,0.9962619927731861,0.9019292002247612,0.9923909080611371,0.9943112866845304,0.9895596836687024,0.9884905445499275,0.0012272593590918692,0.0037756925809769846,0.0039020049807649863,0.004094207321410758,0.9107111346391389,0.8926016107885372,4.4723919956941346e-05,0.00014586187009801627,1.0871252278111725
Blackhole Attack,2,0.4414017617770969,0.9088693957115009,0.9934350135780267,0.7164992002162796,0.9915267725496555,0.4371697288637495,0.0006797880660578424,0.4319761150814645,0.43898126193374654,0.4106224140255168,0.9122627297378728,0.40883458646616544,4.1926833689807095e-05,0.19928672047617443,1.0931849178202215
Wormhole Attack,2,0.8120447749750824,0.9087931995540691,0.99980894153611,0.9058314020024381,0.99988657429929,0.7062654763460354,0.0001481850473672033,0.15436116705459,0.13816210354825786,0.1564853831508805,0.910421686746988,0.6377856744704571,2.1777122275006653e-08,0.03645058458539741,0.5374337859913647
Flooding Attack,2,0.9978201358612998,0.8828320802005013,0.993693442530353,0.9950903582285873,0.9898937559682521,0.9932113637520731,0.0014320615352915243,0.005704642407246927,0.005178328722016323,0.0028607412581938773,0.9131042972247091,0.7381847475832438,4.621164189310686e-05,6.546728746921021e-05,1.0344446889263172
Sybil Attack,3,0.9947252564688291,0.9019292002247612,0.9923213863703695,0.9946888314429707,0.9893384636489102,0.9853524698354554,0.0017218948401584236,0.004143258103596251,0.003935341676188757,0.004685613759124951,0.908475972001647,0.8772803895860648,5.312077723586745e-05,0.0001789952991793703,0.954174990168372
Blackhole Attack,3,0.5407506702412869,0.9088693957115009,0.9931130791095762,0.7673195673589933,0.9905231446076843,0.5020085729482482,0.0020012422899333853,0.3170013904288791,0.31798413321828434,0.31034787637961286,0.9106357336547153,0.4066067947646895,5.432623306692611e-05,0.16042750693066096,1.0117015344477855
Wormhole Attack,3,0.8140381813999846,0.9087931995540691,1.0,0.9070190906999923,1.0,0.7082856714681005,4.5892789568569015e-09,0.1681930781850468,0.13907817940263117,0.16841295576281684,0.9109638554216868,0.6333263656633222,0.0,0.03528667861330236,0.05000375915574231
Flooding Attack,3,0.9983270810098347,0.8828320802005013,0.9942234591238213,0.995725801773061,0.9921978643162803,0.9944971812289589,0.0008455735380314352,0.0067927948198552406,0.006586920352841529,0.002489315863779629,0.911873321396598,0.7181793770139635,3.4014793687471014e-05,6.60589854578549e-05,1.013351191832675
Sybil Attack,4,0.9958466586368734,0.9019292002247612,0.9938851196697558,0.9931486921908583,0.9923460490378067,0.9869320275377285,0.0014023709292695292,0.0037896378645367913,0.003984454900919057,0.004257978449609992,0.9118287159578848,0.9401386027345945,3.407624652925747e-05,8.814080691409792e-05,1.0768310536399877
Blackhole Attack,4,0.4201838376101111,0.9088693957115009,0.9932081846176422,0.7051262961923741,0.9913008198176463,0.42303576778759044,0.0008181343199446247,0.4673934076460985,0.47506721866843055,0.44660631177511234,0.9118409159385357,0.4080339738234475,3.912832023039755e-05,0.20397303495301453,1.1165713519283824
Wormhole Attack,4,0.8210917733650234,0.9087931995540691,0.9999642422942143,0.9105458866825117,0.9998866095240144,0.7152431888975732,4.872538412988198e-05,0.148967834927919,0.13409286320039332,0.15403429541430505,0.9156024096385542,0.6317238015607581,3.6289737262273244e-09,0.03431476418347588,0.5091799119004562
Flooding Attack,4,0.9917874885937341,0.8828320802005013,0.9936446853622164,0.9911191071692887,0.9913116578512793,0.9802199489257442,0.0009232083264556191,0.007384340955859172,0.006817158413091077,0.006421337393544191,0.9115935541629364,0.724579305406373,3.504678748581618e-05,0.00016217722403873426,1.0706516033323203
Sybil Attack,5,0.9961373925322923,0.9019292002247612,0.994110686607588,0.9936760301087741,0.9915751687452256,0.9878627560708326,0.0008372323221888599,0.0031393040575241563,0.0032481921637760895,0.003913799422300732,0.9097111934592083,0.8852594118748829,3.693674914203125e-05,5.754802731811068e-05,1.0737848868505762
Blackhole Attack,5,0.4658751436231329,0.9088693957115009,0.994354535400982,0.7283539201690913,0.9919860976142683,0.4530148517836708,0.0006342294983950624,0.40590646173017225,0.4132097927275148,0.38975903907595305,0.9087677011147937,0.4093915343915344,3.8584783308781e-05,0.19263389920071922,1.0898583630682197
Wormhole Attack,5,0.8172582994709806,0.9087931995540691,0.9998569691768576,0.9084381642503871,0.9995466492339642,0.7113586775114284,0.00023387380870989435,0.1325539331358763,0.13260923844822037,0.14141722692046768,0.9119879518072289,0.6366011705685619,1.1979528442271848e-07,0.03520360890793549,1.0080816690481027
Flooding Attack,5,0.9973638852276183,0.8828320802005013,0.9932241939255306,0.9944802619415403,0.990429568292204,0.9920352319270196,0.0012896595366188029,0.01214056173162529,0.012295131532926459,0.005631313161024969,0.9117614145031334,0.7355889724310777,4.558800938411773e-05,0.00011705443048434553,0.9909168898128149
Sybil Attack,6,0.9953482576732982,0.9019292002247612,0.9941279408445591,0.9928994917090708,0.9911340908238306,0.9857062227871147,0.0012310091421302539,0.003916593136643442,0.0038021993972053103,0.0042818117229756775,0.9134168578318922,0.9427233564337891,4.167020149360122e-05,5.9523574752149105e-05,0.9697716167183494
Blackhole Attack,6,0.4913443125239372,0.9088693957115009,0.9927911446411258,0.7407065336492872,0.9895222846541761,0.4694204954917428,0.0018194092764697647,0.37429304445138756,0.3738586959316438,0.3613698787679346,0.9139499849352215,0.40810359231411864,4.747821508470781e-05,0.18245320698932677,0.994893494167549
Wormhole Attack,6,0.8009660354212987,0.9087931995540691,0.9999642422942143,0.9004830177106493,0.9998866095240144,0.6957972959136933,6.402759141788296e-05,0.15616534838561974,0.14742276430699877,0.16239065496072905,0.915421686746988,0.6332566889632107,2.5407408152759297e-08,0.036577636390350665,0.6777368423316231
Flooding Attack,6,0.9987326371286627,0.8828320802005013,0.9942506368928571,0.9942097104665468,0.9917598037318396,0.9943734846532122,0.0020429945316098293,0.002434094870962164,0.0027879188718693392,0.0021574317229705793,0.9104744852282901,0.6877013963480129,3.898464801181284e-05,3.895360131163573e-05,0.9589290640995963
Sybil Attack,7,0.9953482576732982,0.9019292002247612,0.9941802082983555,0.993281462679277,0.9917972868594018,0.9859195953835989,0.001903345298654231,0.0038517488077173694,0.0038535599105243446,0.004518266632644628,0.9105346744309158,0.9467690578760067,4.730304686581432e-05,0.00013664160628353147,0.9962763675669872
Blackhole Attack,7,0.456644963615473,0.9088693957115009,0.9937098190163232,0.7229748882248488,0.9914204159190148,0.4467998647427066,0.0014019359023494829,0.41852922936816356,0.41784641490298213,0.3994055848449387,0.9131666164507382,0.4078599275967697,4.615814942518782e-05,0.19477022060782348,0.9913472659258322
Wormhole Attack,7,0.8066779115234225,0.9087931995540691,0.99980894153611,0.9033389557617113,0.99988657429929,0.7011919463765872,6.024089965772639e-05,0.17431372633678233,0.14542456514334148,0.17452929419691607,0.9101807228915663,0.6404333890746934,3.9930739769303316e-08,0.03469159220664655,0.05000660261162461
Flooding Attack,7,0.985602757781608,0.8828320802005013,0.9947582600065853,0.9878357562781226,0.9918775361337473,0.9678327174993298,0.0011996369298724015,0.011124204066053743,0.01101420458517334,0.011881695716048087,0.9178043867502238,0.6774973147153598,3.2050637844071736e-05,0.0004915728952647582,1.0685529214088512
Sybil Attack,8,0.9954313245005607,0.9019292002247612,0.9931556466595797,0.9938959525482177,0.9920021532356009,0.9864433555984685,0.0010726982782848277,0.00343550999949353,0.003639621233439622,0.004412299827064883,0.9160637609552379,0.8889305113317101,3.616893222106972e-05,0.00013352781590223982,1.0578457506421173
Blackhole Attack,8,0.5107238605898123,0.9088693957115009,0.9934585780931037,0.7523061625332561,0.9920830980491728,0.482524308753141,0.0007306983722391104,0.34986304955756264,0.3556030396472529,0.34066195907925306,0.9146128351913226,0.4094611528822055,3.387189130108181e-05,0.17596070365783908,1.069051011094652
Wormhole Attack,8,0.8363873342022541,0.9087931995540691,0.9995821253664345,0.918193667101127,0.9996597228978701,0.7309155347732502,0.00013569403776115768,0.12580511605704559,0.1223884690438797,0.13554580576403694,0.9128915662650603,0.633744425863991,4.355358864555939e-08,0.029508254709461324,0.661493704392639
Flooding Attack,8,0.9969583291087905,0.8828320802005013,0.9940979529378731,0.99389551291192,0.9923056917913209,0.990967826780864,0.0010053811424068934,0.008771939389195425,0.007392014852336521,0.004204988380331889,0.9147829006266786,0.7742570712495525,3.07579697456485e-05,8.486890863328632e-05,1.085193289693327
Sybil Attack,9,0.9961373925322923,0.9019292002247612,0.9934159744427957,0.9938670155938772,0.9913424498477417,0.9879694045941483,0.0007268874072973835,0.003052356403811008,0.0034645615568251248,0.003947826374245197,0.9111228751249927,0.9256040457014422,4.021717225067559e-05,7.069225058802232e-05,1.121530579002266
Blackhole Attack,9,0.4485254691689008,0.9088693957115009,0.993995982988279,0.7202520393972847,0.9923140477134677,0.44187638289124387,0.0010972263261049091,0.4295716981543743,0.4407277462752108,0.41355857020857334,0.9141307622777946,0.4068504594820384,4.106326986219634e-05,0.1992760200389772,1.160646105138501
Wormhole Attack,9,0.8061412251782565,0.9087931995540691,1.0,0.9030706125891282,1.0,0.7006810543405503,8.071696433365968e-05,0.15062000889905836,0.15063853308531616,0.15370613546813872,0.9135542168674698,0.6442307692307693,0.0,0.03240229365625561,0.8652292486384215
Flooding Attack,9,0.9946770759403832,0.8828320802005013,0.9939996245209606,0.9929458718128196,0.9919749461538884,0.9863397972753072,0.0011925858288079302,0.011149453409507702,0.009960444738709674,0.0057327321090053195,0.9134959713518352,0.6992928750447548,4.006414772285008e-05,0.00012819874816516445,1.0641140357258267
